date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-06-30 00:00:00,72104.52801227935,74493.94035741694,71082.90647955268,73067.04747286481,976773951540,11286558,8113,71015.36125424843,74493.94035741694
2021-07-03 00:00:00,75144.06315097028,76714.48963929394,74806.33702444907,76072.80999890363,1447019209760,16060101,11769,73067.04747286481,75093.4042319921
2021-07-04 00:00:00,75051.18846617696,78014.7352264006,73877.59017651573,76292.33198114242,1164936893050,12891754,9560,76072.80999890363,75566.2208091218
2021-07-05 00:00:00,75912.39008880605,76984.67054051091,74257.5320688521,75076.51792566605,926430841540,10418120,10271,76292.33198114242,74721.90549281877
2021-07-06 00:00:00,75144.06315097028,77018.44315316303,74848.55279026422,75540.89134963271,1106610824780,12369153,8618,75076.51792566605,75076.51792566605
2021-07-07 00:00:00,76832.69378357635,79196.77666922486,75380.47143953513,77010.0,1760715320560,19302947,13881,75540.89134963271,78555.09702883456
2021-07-13 00:00:00,81200.0,81200.0,79490.0,80360.0,884587618640,11007338,5672,77010.0,80700.0
2021-07-14 00:00:00,81800.0,84340.0,80400.0,83560.0,1070389017840,12809597,11777,80360.0,83500.0
2021-07-17 00:00:00,87380.0,87380.0,80440.0,83130.0,719936750920,8660059,10964,83560.0,82000.0
2021-07-18 00:00:00,82000.0,82000.0,78980.0,79350.0,956640444010,12055257,10819,83130.0,79250.0
2021-07-19 00:00:00,78990.0,81000.0,77230.0,79670.0,601226613280,7546642,6883,79350.0,79830.0
2021-07-26 00:00:00,79400.0,82440.0,79210.0,80730.0,508311083880,6296144,6762,79670.0,81060.0
2021-07-27 00:00:00,82780.0,84760.0,81500.0,83580.0,686905532080,8218048,10769,80730.0,83880.0
2021-07-28 00:00:00,84500.0,87750.0,83600.0,86730.0,735196148520,8477221,8546,83580.0,87750.0
2021-07-31 00:00:00,89500.0,91060.0,89000.0,90870.0,778615030450,8568561,5798,86730.0,91060.0
2021-08-01 00:00:00,94000.0,95000.0,90010.0,92640.0,956674996600,10326955,12478,90870.0,91720.0
2021-08-02 00:00:00,91500.0,92500.0,89400.0,90930.0,611712164150,6727246,8013,92640.0,90880.0
2021-08-03 00:00:00,90800.0,93500.0,89910.0,92490.0,362063103270,3914684,6344,90930.0,92950.0
2021-08-04 00:00:00,93000.0,97110.0,92950.0,96860.0,1386188518070,14311614,9122,92490.0,97110.0
2021-08-07 00:00:00,98800.0,99500.0,92330.0,94780.0,845882366880,8924893,11439,96860.0,94200.0
2021-08-08 00:00:00,93390.0,99000.0,93050.0,97100.0,550043266020,5664862,7957,94780.0,98500.0
2021-08-09 00:00:00,98800.0,99990.0,97370.0,98420.0,466874961820,4743601,7019,97100.0,98000.0
2021-08-10 00:00:00,98990.0,102000.0,97500.0,99520.0,910687741760,9150586,8914,98420.0,101320.0
2021-08-11 00:00:00,101510.0,104490.0,101510.0,103740.0,941718537760,9077799,11656,99520.0,104490.0
2021-08-14 00:00:00,106000.0,106000.0,99570.0,101960.0,817506139890,8017600,10928,103740.0,103090.0
2021-08-15 00:00:00,102980.0,107000.0,102000.0,105480.0,640355890770,6070859,7265,101960.0,106750.0
2021-08-22 00:00:00,108400.0,110750.0,105530.0,110400.0,1519594667390,13763940,12130,105480.0,110750.0
2021-08-23 00:00:00,113000.0,114500.0,108500.0,110970.0,933758130760,8414135,11660,110400.0,110400.0
2021-08-24 00:00:00,110600.0,112710.0,108000.0,110010.0,1035311315970,9411042,14924,110970.0,110010.0
2021-08-25 00:00:00,110100.0,112000.0,108450.0,109910.0,839619113400,7639167,10625,110010.0,109870.0
2021-08-28 00:00:00,109920.0,111000.0,107500.0,108400.0,1275513136520,11767093,16469,109910.0,108070.0
2021-08-29 00:00:00,108710.0,109900.0,102980.0,105640.0,1247154659490,11805733,17790,108400.0,103400.0
2021-08-30 00:00:00,102000.0,103520.0,100360.0,101120.0,750494405400,7421688,8876,105640.0,100360.0
2021-08-31 00:00:00,96090.0,104120.0,96070.0,99760.0,1016068071420,10184793,13785,101120.0,101700.0
